ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,ICONO
54,11DJN0329O,Boulevard Mariano Escobedo S/N A Un Costado De La Primaria Emilia,Kennedy,urbana,León de los Aldama,Escuela,21.11673,-101.70174,México conectado,Sin informacion,104,Instalado,pin
55,11DJN0964O,Felix Romero Num. 404 Carretera Leon-San Franciosco Del Rincon,Periodistas De Mexico,urbana,León de los Aldama,Escuela,21.09668,-101.74957,México conectado,Sin informacion,210,Instalado,pin
56,11DJN3062T,La Selva,La Selva,urbana,León de los Aldama,Escuela,21.17611,-101.63443,México conectado,Sin informacion,0,Instalado,pin
57,11DJN4342J,"Calle Toronjil Numero Exterior: Sn, Colonia Valle De Las Toronjas",Valle De Las Toronjas,urbana,León de los Aldama,Escuela,21.21152,-101.68021,México conectado,Sin informacion,66,Instalado,pin
58,11DJN4384I,Madre Loreto Num. 114 ,10 De Mayo Seccion Negrete,urbana,León de los Aldama,Escuela,21.07177,-101.62502,México conectado,Sin informacion,0,Instalado,pin
59,11DJN4386G,Balcones De Las Golondrinas S/N,Balcones De La Joya,urbana,León de los Aldama,Escuela,21.129481,-101.755403,México conectado,Sin informacion,0,Instalado,pin
60,11DPR0701V,Comunidad La Hacina,La Arcina,rural,LA ARCINA,Escuela,20.94169,-101.61306,México conectado,Sin informacion,131,Instalado,pin
61,11DPR0706Q,Comunidad La Cinta Terraceria Barretos- La Sandia,No Aplica,rural,LA CINTA,Escuela,20.92997,-101.67152,México conectado,Sin informacion,56,Instalado,pin
62,11DPR1004F,Francisco Villa Num. 402,Bugambilias,urbana,León de los Aldama,Escuela,21.119,-101.65036,México conectado,Sin informacion,370,Instalado,pin
63,11DPR1064U,"Calle Rio Amarillo Numero Exterior: 131 , Colonia San Nicolas, Co",San Nicolas,urbana,León de los Aldama,Escuela,21.10673,-101.67634,México conectado,Sin informacion,0,Instalado,pin
64,11DPR1065T,Santander Num. 1703 Ajusco,Piletas,urbana,León de los Aldama,Escuela,21.13849,-101.70776,México conectado,Sin informacion,444,Instalado,pin
65,11DPR1418E,Comunidad El Resplandor Carretera Santa Ana Del Conde-Los Ramirez,El Reaplandor,rural,EL RESPLANDOR (EL CHORRO),Escuela,20.99991,-101.60519,México conectado,Sin informacion,194,Instalado,pin
66,11DPR1501D,Comunidad De Los Romeros,Los Romeros,rural,SAN JOSE DE LOS ROMEROS,Escuela,21.03649,-101.49101,México conectado,Sin informacion,73,Instalado,pin
67,11DPR1534V,"Calle Luna Nueva Numero Exterior: Sn, Rancho O Rancheria Capellan",Capellania De Loera,rural,CAPELLANIA DE LOERA,Escuela,21.036725,-101.59577,México conectado,Sin informacion,199,Instalado,pin
68,11DPR1552K,Chupicuaro Num. 602,La Brisa,urbana,León de los Aldama,Escuela,21.13291,-101.67433,México conectado,Sin informacion,334,Instalado,pin
69,11DPR1914D,"Calle Barretos Numero Exterior: Sn, Ejido Barretos, Codigo Postal",Barretos,rural,BARRETOS,Escuela,20.93704,-101.64225,México conectado,Sin informacion,282,Instalado,pin
70,11DPR2258O,El Recuerdo,Baranca De Venaderos,urbana,BARRANCA DE VENADEROS,Escuela,21.11586,-101.74081,México conectado,Sin informacion,243,Instalado,pin
71,11DPR2284M,Comunidad San Jose Del Clavel,San Jose Del Clavel,urbana,León de los Aldama,Escuela,21.05071,-101.58393,México conectado,Sin informacion,65,Instalado,pin
72,11DPR2292V,Olivo Num. 405,Valle De Leon,urbana,León de los Aldama,Escuela,21.16206,-101.66818,México conectado,Sin informacion,179,Instalado,pin
73,11DPR2301M,Comunidad Zaragoza Carretera Leon-Comanjilla,Zaragoza,rural,IGNACIO ZARAGOZA,Escuela,21.0301,-101.50772,México conectado,Sin informacion,80,Instalado,pin
74,11DPR2758J,Comunidad Vaquerias Carretera Silao-San Felipe,Vaquerias,rural,VAQUERIAS,Escuela,21.15562,-101.39497,México conectado,Sin informacion,200,Instalado,pin
75,11DPR2772C,Comunidad Las Coloradas Duarte,Las Coloradas,rural,LAS COLORADAS,Escuela,21.09595,-101.50255,México conectado,Sin informacion,103,Instalado,pin
76,11DPR2964S,Guadalupe Victoria Pie De Carretera A Santa Ana Del Conde,Guadalupe Victoria,rural,GUADALUPE VICTORIA,Escuela,21.01789,-101.5786,México conectado,Sin informacion,157,Instalado,pin
77,11DPR2967P,"Calle Ojo De Agua De Los Reyes Numero Exterior: Sn, Colonia La Se",La Selva,urbana,León de los Aldama,Escuela,21.17994,-101.63178,México conectado,Sin informacion,215,Instalado,pin
78,11DPR3079J,Isla Coronado Num. 104 Junto Al Hospital Materno Infantil,Satelite,urbana,León de los Aldama,Escuela,21.11549,-101.72231,México conectado,Sin informacion,350,Instalado,pin
79,11DPR3381V,Alce Num. 1103,Lomas De Echeveste,urbana,León de los Aldama,Escuela,21.17743,-101.65631,México conectado,Sin informacion,402,Instalado,pin
80,11DPR3608J,Villa Aldama Num. 1003,Nuevo Leon,urbana,León de los Aldama,Escuela,21.18815,-101.65642,México conectado,Sin informacion,618,Instalado,pin
81,11DPR3721C,"Calle San Jose Acatempa Numero Exterior: 302 , Colonia Refugio De",Refugio De San Jose,urbana,León de los Aldama,Escuela,21.05749,-101.61726,México conectado,Sin informacion,246,Instalado,pin
82,11DPR3742P,Andador Del Chofer S/N,Rivera De Los Castillos,urbana,León de los Aldama,Escuela,21.2027,-101.66564,México conectado,Sin informacion,328,Instalado,pin
83,11DPR3752W,Sierra De San Pedro Num. 127,Las Hilamas,urbana,León de los Aldama,Escuela,21.1086,-101.72571,México conectado,Sin informacion,431,Instalado,pin
84,11DST0001N,Boulevard Adolfo Lopez Mateos S/N,Zona Centro,urbana,León de los Aldama,Escuela,21.12556,-101.68339,México conectado,Sin informacion,1389,Instalado,pin
85,11DZC0003E,"Calle Francisco Murguia Numero Exterior: Sn, Granja Santa Ana Del",Santa Ana Del Conde,rural,ALVARO OBREGON (SANTA ANA DEL CONDE),Escuela,20.959569,-101.576436,México conectado,Sin informacion,0,Instalado,pin
86,11EJN0020Z,Franciscanos Num. 230,San Francisco De Asis,urbana,León de los Aldama,Escuela,21.09214,-101.60608,México conectado,Sin informacion,294,Instalado,pin
87,11EJN0790N,Calle Principal Pasando El Rio,Duarte,rural,DUARTE,Escuela,21.08628,-101.52142,México conectado,Sin informacion,139,Instalado,pin
88,11EJN1209H,"Calle Ramon Ramirez Martinez Numero Exterior: 504 , Colonia Leon ",Leon I,urbana,León de los Aldama,Escuela,21.146049,-101.641486,México conectado,Sin informacion,190,Instalado,pin
89,11EJN1211W,Presa Purisima S/N Paseo De La Presa,Rivera De La Presa,urbana,León de los Aldama,Escuela,21.17867,-101.67297,México conectado,Sin informacion,95,Instalado,pin
90,11EPR0394D,Campeche  Y Peru Num. Sn,Obrera,urbana,León de los Aldama,Escuela,21.1251,-101.69286,México conectado,Sin informacion,279,Instalado,pin
