ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,ICONO
103,11DPR3317U,"Calle Pascal Kant Numero Exterior: 402 , Fraccionamiento Centro F",Centro Familiar Soledad,urbana,CENTRO FAMILIAR LA SOLEDAD,Escuela,21.13931,-101.75396,Conectividad SEG - ISP,Sin informacion,665,Instalado,place
104,11DPR3499T,Mar De Cortez S/N,Infonavit El Granjeno,urbana,León de los Aldama,Escuela,21.09213,-101.65734,Conectividad SEG - ISP,Sin informacion,429,Instalado,place
105,11DPR3747K,"Calle Camino A San Jose De Duran Conalep Numero Exterior: Sn, Col",San Jose De Duran (Los Troncoso),urbana,León de los Aldama,Escuela,21.06607,-101.67326,Conectividad SEG - ISP,Sin informacion,216,Instalado,place
106,11DPR3766Z,"Calle Acatemango Numero Exterior: Sn, Colonia Colonia Latinoameri",Colonia Latinoamericana,urbana,COLONIA LATINOAMERICANA,Escuela,21.027314,-101.70457,Conectividad SEG - ISP,Sin informacion,405,Instalado,place
107,11DPR3798R,"Calle De La Misericordia Numero Exterior: 104 , Colonia La Gloria",La Gloria,urbana,León de los Aldama,Escuela,21.07273,-101.62917,Conectividad SEG - ISP,Sin informacion,652,Instalado,place
108,11DPR3930I,"Calle Villa Sidney Numero Exterior: Sn, Fraccionamiento Las Villa",Las Villas,urbana,León de los Aldama,Escuela,21.097519,-101.606953,Conectividad SEG - ISP,Sin informacion,468,Instalado,place
109,11DPR3939Z,"Calle Tajo De Santa Ana Numero Exterior: Sn, Fraccionamiento Vill",Villas De Barcelo,urbana,León de los Aldama,Escuela,21.083877,-101.592927,Conectividad SEG - ISP,Sin informacion,654,Instalado,place
110,11DST0045K,Cholula Num. 603,Azteca,urbana,León de los Aldama,Escuela,21.09453,-101.64948,Conectividad SEG - ISP,Sin informacion,1142,Instalado,place
111,11DST0057P,Papaya Num. Sn,Las Mandarinas,urbana,León de los Aldama,Escuela,21.10786,-101.71378,Conectividad SEG - ISP,Sin informacion,1378,Instalado,place
112,11DST0061B,Boulevard Hilario Medina Num. Sn Esquina Con Polo,Unidad Deportiva 1,urbana,León de los Aldama,Escuela,21.1446,-101.65318,Conectividad SEG - ISP,Sin informacion,1333,Instalado,place
113,11DST0062A,Boulevard Boulevar Mariano Escobedo Num. 5602 Y Ma. Esther V. S/N,Leon Ii,urbana,León de los Aldama,Escuela,21.12056,-101.7305,Conectividad SEG - ISP,Sin informacion,1124,Instalado,place
114,11DST0073G,Faisan Y Colibri S/N,Jardines De San Sebastian,urbana,León de los Aldama,Escuela,21.1022,-101.69912,Conectividad SEG - ISP,Sin informacion,716,Instalado,place
115,11EES0027B,Boulevard Hermanos Aldama Esquina Timoteo Lozano Num. 1005,San Miguel,urbana,León de los Aldama,Escuela,21.09223,-101.68005,Conectividad SEG - ISP,Sin informacion,1197,Instalado,place
116,11EJN0300I,"Calle Ramon Ramirez Martinez Numero Exterior: 504 , Colonia Leon ",Leon I,urbana,León de los Aldama,Escuela,21.146049,-101.641486,Conectividad SEG - ISP,Sin informacion,220,Instalado,place
117,11EJN0415J,"Calle Campos Otoñales Numero Exterior: 203 , Colonia Agua Azul, C",Agua Azul,urbana,León de los Aldama,Escuela,21.10431,-101.61639,Conectividad SEG - ISP,Sin informacion,205,Instalado,place
118,11EPR0187W,"Calle Rio Santiago Numero Exterior: Sn, Barrio San Miguel, Codigo",San Miguel,urbana,León de los Aldama,Escuela,21.09586,-101.68639,Conectividad SEG - ISP,Sin informacion,597,Instalado,place
119,11EPR0674N,"Calle Cañada De Los Martires Numero Exterior: 128 , Colonia Marav",Maravillas,urbana,León de los Aldama,Escuela,21.147318,-101.629257,Conectividad SEG - ISP,Sin informacion,647,Instalado,place
120,11EPR0830O,Filipenses Num. 104,San Pablo,urbana,León de los Aldama,Escuela,21.17266,-101.64714,Conectividad SEG - ISP,Sin informacion,427,Instalado,place
121,11EPR0858U,Felipe Martinez De Zavala Num. 1107,Ampliacion Leon I,urbana,León de los Aldama,Escuela,21.14158,-101.63747,Conectividad SEG - ISP,Sin informacion,365,Instalado,place
122,11EPR0867B,Obsidiana Num. Sn,Real De La Joya,urbana,REAL DE LA JOYA,Escuela,21.1529,-101.75817,Conectividad SEG - ISP,Sin informacion,386,Instalado,place
123,11EPR0894Z,"Calle Cañada De Los Martires Numero Exterior: 128 , Colonia Marav",Maravillas,urbana,León de los Aldama,Escuela,21.147318,-101.629257,Conectividad SEG - ISP,Sin informacion,573,Instalado,place
124,11EPR0922E,Obsidiana Num. Sn,Real De La Joya,urbana,REAL DE LA JOYA,Escuela,21.1529,-101.75817,Conectividad SEG - ISP,Sin informacion,334,Instalado,place
125,11ETK0307L,"Calle Ojo De Agua De Los Reyes Numero Exterior: Sn,Rancho O Ranch",Ojo De Agua De Los Reyes,rural,OJO DE AGUA DE LOS REYES,Escuela,21.18884,-101.62228,Conectividad SEG - ISP,Sin informacion,92,Instalado,place
126,11ETV0040B,Contratistas S/N,Ciudad Aurora,urbana,León de los Aldama,Escuela,21.175236,-101.667997,Conectividad SEG - ISP,Sin informacion,865,Instalado,place
127,11ETV0114C,Emiliano Zapata Num. Sn,Duarte,urbana,DUARTE,Escuela,21.08295,-101.518,Conectividad SEG - ISP,Sin informacion,381,Instalado,place
128,11ETV0121M,Pilar De La Sandia Num. 120 Carretera Leon-Cueramaro,Plan Guanajuato,rural,PLAN GUANAJUATO (LA SANDIA),Escuela,20.91952,-101.69645,Conectividad SEG - ISP,Sin informacion,159,Instalado,place
129,11ETV0122L,Baya,San Jose Del Alto,urbana,León de los Aldama,Escuela,21.07636,-101.61143,Conectividad SEG - ISP,Sin informacion,394,Instalado,place
130,11ETV0394C,Avenida Potrero Num. 110-A Boulevard Vicente Valtierra,San Jose Del Potrero,urbana,SAN JOSE DEL POTRERO,Escuela,21.12911,-101.59999,Conectividad SEG - ISP,Sin informacion,214,Instalado,place
131,11ETV0422I,Nicolas Calvo Num. 3002,Deportiva Ii,urbana,León de los Aldama,Escuela,21.14733,-101.64433,Conectividad SEG - ISP,Sin informacion,190,Instalado,place
132,11ETV0584U,"Calle San Francisco Numero Exterior: Sn, Rancho O Rancheria San F",San Francisco De Duran (San Agustin Mirasol),rural,SAN FRANCISCO DE DURAN (SAN AGUSTIN DEL MIRAS,Escuela,21.00863,-101.62021,Conectividad SEG - ISP,Sin informacion,177,Instalado,place
133,11ETV0686R,San Jose De Otates Sur,San Jose De Otates Sur,rural,SAN JOSE DE OTATES SUR (PIEDRAS DE COCHE),Escuela,21.16827,-101.49334,Conectividad SEG - ISP,Sin informacion,41,Instalado,place
134,11ETV0755X,"Calle La Laborcita Numero Exterior: Sn, Ejido La Laborcita, Codig",La Laborcita,rural,LA LABORCITA,Escuela,21.10796,-101.55244,Conectividad SEG - ISP,Sin informacion,182,Instalado,place
135,11ETV0937F,Aldaba Y Pura Sangre S/N,El Carmen C.T.M.,urbana,León de los Aldama,Escuela,21.11888,-101.60182,Conectividad SEG - ISP,Sin informacion,292,Instalado,place
