ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,FECHA_INSTAL,ICONO
41,Granjas Economicas,Avenida del sur 60,Lomas del suspiro,rural,Los Sauces,Escuela,21.0252,101.55322,Brecha Digital,Satelital,152,Instalado,mar-19,calculator
42,Guadalupe Victoria,Calle Principal 213,Guadalupe Victoria,rural,Santa Ana del Conde,Iglesia,21.0194444,-101.5797222,Brecha Digital,Satelital,513,Instalado,mar-19,plus
43,Jacales,Calle Alamo SN,Jacales,rural,Los Sauces,Escuela,21.0369444,-101.5488889,Brecha Digital,Satelital,448,Instalado,mar-19,calculator
44,La Laborcita,Calle principal 113,La Laborcita,rural,San Juan de Otates,Particular,21.1069739,-101.5576617,Brecha Digital,Satelital,1567,Instalado,mar-19,home
45,La Patina,Calle principal al Templo SN,La Patina,rural,Hacienda Arriba,Iglesia,21.1955556,-101.7055556,Brecha Digital,Satelital,788,Instalado,mar-19,plus
46,La Providencia,Calle primero de enero 6,La Providencia,rural,Los Ramirez,Particular,21.0741667,-101.66,Brecha Digital,Satelital,797,Instalado,mar-19,home
47,La Sandia,En el Templo,La Sandia,rural,La Sandia,Iglesia,20.9223528,-101.697,Brecha Digital,Satelital,2136,Instalado,mar-19,plus
48,Ladrillera del Refugio,Plaza del templo,Ladrillera del Refugio,rural,San Juan de Otates,Plaza,21.0847222,-101.5536111,Brecha Digital,Satelital,1642,Instalado,mar-19,employees
49,Lagunillas,Calle Andador del Caserio 104,Lagunillas,rural,Rancho Nuevo La Venta,Particular,21.2022222,-101.765,Brecha Digital,Satelital,552,Instalado,mar-19,home
50,Los Arcos,Arco Olimpico 205,Los Arcos,rural,Los Ramirez,Particular,21.0491667,-101.6872222,Brecha Digital,Satelital,1174,Instalado,mar-19,home
51,Los Lopez,Calle principal 255,Los Lopez,rural,Los Sauces,Escuela,21.0478861,-101.5703139,Brecha Digital,Satelital,652,Instalado,mar-19,calculator
52,Los Ramirez,Calle principal SN,Los Ramirez,rural,Los Ramirez,Iglesia,21.0196667,-101.6459333,Brecha Digital,Satelital,2473,Instalado,mar-19,plus
53,Los Sauces,Calle Lopez Mateos SN,Los Sauces,rural,Los Sauces,Iglesia,21.0234778,-101.5393806,Brecha Digital,Satelital,1228,Instalado,mar-19,plus
54,Loza de los Padres,Calle principal SN predio particular,Loza de los Padres,rural,Duarte,Particular,21.0716667,-101.5472222,Brecha Digital,Satelital,2875,Instalado,mar-19,home
55,Lucio Blanco,Lucio Blanco SN Cuenca Rio lerma,Lucio Blanco,rural,San Juan de Otates,Particular,21.1152778,-101.5511111,Brecha Digital,Satelital,1218,Instalado,mar-19,home
56,Nuevo Lindero,Calle Ignacio Medina 20,Nuevo Lindero,rural,La Sandia,Iglesia,20.95883,101.63826,Brecha Digital,Satelital,896,Instalado,mar-19,plus
57,Puerta de San German,Calle Feliciano Domiguez,Puerta de San German,rural,Santa Rosa Plan de Ayala,Iglesia,21.0336111,-101.7802778,Brecha Digital,Satelital,827,Instalado,mar-19,plus
58,Puerta del Cerro,Calle Carlos Medina SN,Puerta del Cerro,rural,Rancho Nuevo La Venta,Particular,21.05,-101.7861111,Brecha Digital,Satelital,417,Instalado,mar-19,home
59,Rancho Nuevo La Luz,Templo de la Comunidad,Rancho Nuevo La Luz,rural,La Sandia,Particular,20.96282,101.64589,Brecha Digital,Satelital,1025,Instalado,mar-19,plus
60,San Carlos La Roncha,Casa particular a un lado del templo,San Carlos La Roncha,rural,San Juan de Otates,Particular,21.0710083,-101.5872667,Brecha Digital,Satelital,0,Instalado,mar-19,home
61,San Jose del Barron El Cachete,Calle principal SN,San Jose del Barron,rural,Los Ramirez,Particular,21.0345,101.63438,Brecha Digital,Satelital,160,Instalado,mar-19,home
62,San Juan de Otates,Calle principal SN,San Juan de Otates,rural,San Juan de Otates,Iglesia,21.1144639,-101.5577833,Brecha Digital,Satelital,2905,Instalado,mar-19,plus
63,San Judas,Calle San Judas SN,Frente al Templo,rural,La Sandia,Iglesia,20.99936,101.7075,Brecha Digital,Satelital,1698,Instalado,mar-19,plus
64,San Pedro del Monte,Calle de las haciendas,San Pedro del Monte,rural,Santa Rosa Plan de Ayala,Otro,21.0313889,-101.7147222,Brecha Digital,Satelital,857,Instalado,mar-19,place
65,Santa Rosa Plan de Ayala,Templo de la Comunidad,Santa Rosa Plan de Ayala,rural,Santa Rosa Plan de Ayala,Particular,21.0709528,-101.7222111,Brecha Digital,Satelital,5134,Instalado,mar-19,home
66,El Terrero,Calle Alamo 3,El Terrero,rural,Santa Ana del Conde,Iglesia,20.9611111,-101.6052778,Brecha Digital,Satelital,208,Instalado,mar-19,plus
67,Mesa de Ibarrilla,El centro de salud tentativamene,Mesa de Ibarrilla,rural,Huizache,Otro,21.223234,-101.638172,Brecha Digital,,220,Planeado,,place
68,Saucillo de Avalos,Escuela Primaria AgustÌn de Iturbide,Saucillo de Avalos camino a Nuevo Valle de Moreno,rural,Huizache,Escuela,21.235124,-101.617192,Brecha Digital,,148,Planeado,,calculator
69,El Huizache,Plancha de concreto junto al Centro de Salud,El Huizache,rural,Huizache,Otro,21.244692,-101.587187,Brecha Digital,,32,Planeado,,place
70,Hacienda Arriba,Calle principal en la parada de autob˙s,Hacienda Arriba,rural,Hacienda Arriba,Vialidad,21.231131,-101.70473,Brecha Digital,,1570,Planeado,,directions
71,Ojo de Agua de los Reyes,Plaza principal,Ojo de Agua de los Reyes,rural,Alfaro,Plaza,21.189019,-101.621215,Brecha Digital,,624,Planeado,,employees
72,Los Naranjos,Plaza principal saliendo del templo,Los Naranjos,rural,Alfaro,Plaza,21.168461,-101.626194,Brecha Digital,,793,Planeado,,employees
73,Llano Grande,Predio particular sobre la carretera (tienda de la comunidad),Llano Grande,rural,Alfaro,Particular,21.156225,-101.581025,Brecha Digital,,57,Planeado,,home
74,Zaragoza,Plaza principal  frente al templo,Zaragoza,rural,Los Sauces,Plaza,21.0310742,-101.507943,Brecha Digital,,495,Planeado,,employees
75,Playas de Sotelo,Plaza principal frente a la secundaria,Playas de Sotelo,rural,Santa Ana del Conde,Plaza,20.966386,-101.550268,Brecha Digital,,892,Planeado,,employees
76,Santa Ana del Conde ,Plaza principal  explanada,Santa Ana del Conde ,rural,Santa Ana del Conde,Plaza,20.959029,-101.578064,Brecha Digital,,3456,Planeado,,employees
77,La Arcina ,Plaza a un lado del tanque elevado exmuro de la hacienda,La Arcina ,rural,Santa Ana del Conde,Plaza,20.941201,-101.614122,Brecha Digital,,896,Planeado,,employees
78,La Cinta,Plaza principal junto a la tienda grande,La Cinta,rural,La Sandia,Plaza,20.929385,-101.671549,Brecha Digital,,367,Planeado,,employees
79,San Antonio de Los Tepetates ,Camino a San Antonio de los Tepetates Plaza principal al lado del Templo,Los Tepetates ,rural,Los Ramirez,Plaza,21.044766,-101.674572,Brecha Digital,,1118,Planeado,,employees
80,Bionodo BajÌo Los Ramirez,Bachillerato SABES Calle B Num 205 Entre Calle Benito Juarez y Calle del Olvido posterior Calle Ninguno,Los Ramirez,rural,Los Ramirez,Escuela,21.011236,-101.651452,Brecha Digital,,0,Planeado,,calculator
81,El Resplandor,Plaza principal,El Resplandor,rural,Los Ramirez,Plaza,21.00103,-101.604518,Brecha Digital,,738,Planeado,,employees
82,El Consuelo (San Jose del Consuelo),Plaza principal junto al templo,El Consuelo (San Jose del Consuelo),rural,La Sandia,Plaza,21.010958,-101.690159,Brecha Digital,,349,Planeado,,employees
83,Estancia de los Sapos,Plaza principal dentro de la reja del templo,Estancia de los Sapos,rural,Santa Rosa Plan de Ayala,Plaza,21.024779,-101.746299,Brecha Digital,,672,Planeado,,employees
84,San JosÈ de los Sapos,Telesecundaria 1129,San JosÈ de los Sapos,rural,Santa Rosa Bacn de Ayala,Escuela,21.010958,-101.690159,Brecha Digital,,1012,Planeado,,calculator
85,La Mora,Carr Leon San Francisco del Rincon Escuela primaria Melchor Ocampo,La Mora,rural,Rancho Nuevo La Venta,Escuela,21.066363,-101.76369,Brecha Digital,,430,Planeado,,calculator
86,La Reserva,Calle Principal DesviaciÛn Autopista San Fco-Silao Escuela primaria Miguel Hidalgo,La Reserva,rural,Rancho Nuevo La Venta,Escuela,21.079991,-101.746168,Brecha Digital,,909,Planeado,,calculator
